bar_code,Family,Genus,species,X,Y,value,variable_id
P963812,Lecythidaceae,Eschweilera,coriacea,64,41,186.28884143154073,2
P963812,Lecythidaceae,Eschweilera,coriacea,64,41,1.742631268850793,3
P963812,Lecythidaceae,Eschweilera,coriacea,64,41,82.74100034296764,9
P963812,Lecythidaceae,Eschweilera,coriacea,64,41,141.38118216651273,10
P963812,Lecythidaceae,Eschweilera,coriacea,64,41,10.280882518085384,11
P647320,Lecythidaceae,Eschweilera,coriacea,88,17,24.79547133048743,1
P647320,Lecythidaceae,Eschweilera,coriacea,88,17,184.57362221476663,2
P647320,Lecythidaceae,Eschweilera,coriacea,88,17,1.7656354068142552,3
P647320,Lecythidaceae,Eschweilera,coriacea,88,17,79.84358852833851,9
P647320,Lecythidaceae,Eschweilera,coriacea,88,17,97.45742250303594,10
P647320,Lecythidaceae,Eschweilera,coriacea,88,17,12.304515042897478,11
P749948,Lecythidaceae,Eschweilera,coriacea,37,32,24.95886997273841,1
P749948,Lecythidaceae,Eschweilera,coriacea,37,32,230.27286559630983,2
P749948,Lecythidaceae,Eschweilera,coriacea,37,32,1.6302539458755743,3
P749948,Lecythidaceae,Eschweilera,coriacea,37,32,59.54803855519044,9
P749948,Lecythidaceae,Eschweilera,coriacea,37,32,68.3435313829869,10
P749948,Lecythidaceae,Eschweilera,coriacea,37,32,9.680748426463147,11
P714990,Lecythidaceae,Eschweilera,coriacea,13,82,38.36594253288268,1
P714990,Lecythidaceae,Eschweilera,coriacea,13,82,227.40894570711308,2
P714990,Lecythidaceae,Eschweilera,coriacea,13,82,1.8691807658553294,3
P714990,Lecythidaceae,Eschweilera,coriacea,13,82,69.7909358922003,9
P714990,Lecythidaceae,Eschweilera,coriacea,13,82,74.55882875139605,10
P714990,Lecythidaceae,Eschweilera,coriacea,13,82,9.516051471429925,11
P770995,Lecythidaceae,Eschweilera,coriacea,29,30,23.068422292950153,1
P770995,Lecythidaceae,Eschweilera,coriacea,29,30,203.70215698543208,2
